subject,count,KDT.1,PPT.1,PRT.1,RPT.1,RRT.1,KDT(n+1).1,FA.1,FA(n+1).1,KDT.2,PPT.2,PRT.2,RPT.2,RRT.2,KDT(n+1).2,FA.2,FA(n+1).2,KDT.3,PPT.3,PRT.3,RPT.3,RRT.3,KDT(n+1).3,FA.3,FA(n+1).3,KDT.4,PPT.4,PRT.4,RPT.4,RRT.4,KDT(n+1).4,FA.4,FA(n+1).4,KDT.5,PPT.5,PRT.5,RPT.5,RRT.5,KDT(n+1).5,FA.5,FA(n+1).5,KDT.6,PPT.6,PRT.6,RPT.6,RRT.6,KDT(n+1).6,FA.6,FA(n+1).6,KDT.7,PPT.7,PRT.7,RPT.7,RRT.7,KDT(n+1).7,FA.7,FA(n+1).7,KDT.8,PPT.8,PRT.8,RPT.8,RRT.8,KDT(n+1).8,FA.8,FA(n+1).8,KDT.9,PPT.9,PRT.9,RPT.9,RRT.9,KDT(n+1).9,FA.9,FA(n+1).9,KDT.10,PPT.10,PRT.10,RPT.10,RRT.10,KDT(n+1).10,FA.10,FA(n+1).10,KDT.11,PPT.11,PRT.11,RPT.11,RRT.11,KDT(n+1).11,FA.11,FA(n+1).11,KDT.12,PPT.12,PRT.12,RPT.12,RRT.12,KDT(n+1).12,FA.12,FA(n+1).12,KDT.13,PPT.13,PRT.13,RPT.13,RRT.13,KDT(n+1).13,FA.13,FA(n+1).13,KDT.14,PPT.14,PRT.14,RPT.14,RRT.14,KDT(n+1).14,FA.14,FA(n+1).14,KDT.15,PPT.15,PRT.15,RPT.15,RRT.15,KDT(n+1).15,FA.15,FA(n+1).15,KDT.16,PPT.16,PRT.16,RPT.16,RRT.16,KDT(n+1).16,FA.16,FA(n+1).16
USER2,1,91502000,387811999,483580999,296309999,483580999,95769000,0.098039225,0.10980393,95769000,736173001,828428001,640404001,828428001,92255000,0.10980393,0.121568635,92255000,404095000,499767000,311840000,499767000,95672000,0.121568635,0.12941177,95672000,890260000,982875000,794588000,982875000,92615000,0.12941177,0.121568635,92615000,327236000,422948000,234621000,422948000,95712000,0.121568635,0.11764707,95712000,657862999,767190999,562150999,767190999,109328000,0.11764707,0.121568635,109328000,297132000,376599000,187804000,376599000,79467000,0.121568635,0.13333334,79467000,687860000,813700000,608393000,813700000,125840000,0.13333334,0.13333334,125840000,468616000,564400000,342776000,564400000,95784000,0.13333334,0.1254902,95784000,360999000,473190000,265215000,473190000,112191000,0.1254902,0.13725491,112191000,362022000,457678000,249831000,457678000,95656000,0.13725491,0.14901961,95656000,392016000,536925000,296360000,536925000,144909000,0.14901961,0.14509805,144909000,472107000,584246000,327198000,584246000,112139000,0.14509805,0.13725491,112139000,378089000,489486000,265950000,489486000,111397000,0.13725491,0.10196079,111397000,407545000,519747000,296148000,519747000,112202000,0.10196079,0.10980393,112202000,1089020000,1185190000,976818000,1185190000,96170000,0.10980393,0.10196079
USER2,2,93017000,311724000,391132000,218707000,391132000,79408000,0.13725491,0.13725491,79408000,514958000,626784000,435550000,626784000,111826000,0.13725491,0.121568635,111826000,361772000,457323000,249946000,457323000,95551000,0.121568635,0.13725491,95551000,672046000,750071000,576495000,750071000,78025000,0.13725491,0.14117648,78025000,296841000,392601000,218816000,392601000,95760000,0.14117648,0.11764707,95760000,531270000,626882000,435510000,626882000,95612000,0.11764707,0.121568635,95612000,345709000,490559000,250097000,490559000,144850000,0.121568635,0.121568635,144850000,580525001,675959001,435675001,675959001,95434000,0.121568635,0.15294118,95434000,360827000,456414000,265393000,456414000,95587000,0.15294118,0.11764707,95587000,361288000,489197000,265701000,489197000,127909000,0.11764707,0.121568635,127909000,377949000,489814000,250040000,489814000,111865000,0.121568635,0.13725491,111865000,361987000,490504000,250122000,490504000,128517000,0.13725491,0.1137255,128517000,347555000,459498000,219038000,459498000,111943000,0.1137255,0.14117648,111943000,315337000,459674000,203394000,459674000,144337000,0.14117648,0.121568635,144337000,348109000,443867000,203772000,443867000,95758000,0.121568635,0.13725491,95758000,626800000,736114000,531042000,736114000,109314000,0.13725491,0.11764707
USER2,3,92443000,326829999,422457999,234386999,422457999,95628000,0.10588236,0.13333334,95628000,642141000,751781000,546513000,751781000,109640000,0.13333334,0.1254902,109640000,390341001,485983000,280701001,485983000,95641999,0.1254902,0.13725491,95641999,828796000,904868000,733154001,904868000,76072000,0.13725491,0.1254902,76072000,294990000,406766000,218918000,406766000,111776000,0.1254902,0.13333334,111776000,532177000,627564000,420401000,627564000,95387000,0.13333334,0.13725491,95387000,298904000,443578999,203517000,443578999,144674999,0.13725491,0.12941177,144674999,1016720997,1109970000,872045998,1109970000,93249003,0.12941177,0.14509805,93249003,358500003,473820003,265251000,473820003,115320000,0.14509805,0.1254902,115320000,408593000,521005000,293273000,521005000,112412000,0.1254902,0.13725491,112412000,408534000,504519000,296122000,504519000,95985000,0.13725491,0.1254902,95985000,376537000,521129000,280552000,521129000,144592000,0.1254902,0.08627451,144592000,410291999,522326999,265699999,522326999,112035000,0.08627451,0.13333334,112035000,361704000,490005000,249669000,490005000,128301000,0.13333334,0.121568635,128301000,362798000,475237000,234497000,475237000,112439000,0.121568635,0.13725491,112439000,705406000,847011000,592967000,847011000,141605000,0.13725491,0.11764707
USER2,4,93294004,327527004,439470004,234233000,439470004,111943000,0.13725491,0.11764707,111943000,562939000,675175000,450996000,675175000,112236000,0.11764707,0.11764707,112236000,362090000,458056000,249854000,458056000,95966000,0.11764707,0.12941177,95966000,673260999,750229999,577294999,750229999,76969000,0.12941177,0.121568635,76969000,264946000,377016000,187977000,377016000,112070000,0.121568635,0.13333334,112070000,594117000,689809000,482047000,689809000,95692000,0.13333334,0.121568635,95692000,314660000,442862000,218968000,442862000,128202000,0.121568635,0.121568635,128202000,690344000,799967000,562142000,799967000,109623000,0.121568635,0.13333334,109623000,374877000,470704000,265254000,470704000,95827000,0.13333334,0.11764707,95827000,546942000,642545000,451115000,642545000,95603000,0.11764707,0.1254902,95603000,438414000,550456000,342811000,550456000,112042000,0.1254902,0.12941177,112042000,439320000,600263000,327278000,600263000,160943000,0.12941177,0.10196079,160943000,395336000,524035000,234393000,524035000,128699000,0.10196079,0.121568635,128699000,362899000,475278000,234200000,475278000,112379000,0.121568635,0.10980393,112379000,377434000,489385000,265055000,489385000,111951000,0.10980393,0.13333334,111951000,720474000,829655000,608523000,829655000,109181000,0.13333334,0.12941177
USER2,5,93044000,311748999,407216999,218704999,407216999,95468000,0.12941177,0.07450981,95468000,593060999,721494999,497592999,721494999,128434000,0.07450981,0.1137255,128434000,362592000,474767000,234158000,474767000,112175000,0.1137255,0.10196079,112175000,659558000,768145000,547383000,768145000,108587000,0.10196079,0.13333334,108587000,296561000,408455000,187974000,408455000,111894000,0.13333334,0.1254902,111894000,578734000,674224000,466840000,674224000,95490000,0.1254902,0.1254902,95490000,314293000,459172001,218803000,459172001,144879001,0.1254902,0.121568635,144879001,627041000,739270001,482161999,739270001,112229001,0.121568635,0.13725491,112229001,377556001,457015001,265327000,457015001,79459000,0.13725491,0.1254902,79459000,437602999,549646999,358143999,549646999,112044000,0.1254902,0.13333334,112044000,423704000,519535001,311660000,519535001,95831001,0.13333334,0.13333334,95831001,345537001,490540000,249706000,490540000,145002999,0.13333334,0.1254902,145002999,348240999,460398999,203238000,460398999,112158000,0.1254902,0.121568635,112158000,361889000,474277000,249731000,474277000,112388000,0.121568635,0.121568635,112388000,362311000,457784000,249923000,457784000,95473000,0.121568635,0.14509805,95473000,546690000,642383000,451217000,642383000,95693000,0.14509805,0.08627451
USER2,6,76867000,311281000,407017000,234414000,407017000,95736000,0.1254902,0.1254902,95736000,515968000,611780000,420232000,611780000,95812000,0.1254902,0.13725491,95812000,314491000,410531000,218679000,410531000,96040000,0.13725491,0.121568635,96040000,577934000,673593000,481894000,673593000,95659000,0.121568635,0.13725491,95659000,268223000,380239000,172564000,380239000,112016000,0.13725491,0.1254902,112016000,501186000,613343000,389170000,613343000,112157000,0.1254902,0.1254902,112157000,315565000,427718000,203408000,427718000,112153000,0.1254902,0.1254902,112153000,704626000,814939000,592473000,814939000,110313000,0.1254902,0.14117648,110313000,452649000,548581000,342336000,548581000,95932000,0.14117648,0.10588236,95932000,454223000,566598000,358291000,566598000,112375000,0.10588236,0.14901961,112375000,423670000,535896000,311295000,535896000,112226000,0.14901961,0.12941177,112226000,361946000,490184000,249720000,490184000,128238000,0.12941177,0.1254902,128238000,378039000,506178000,249801000,506178000,128139000,0.1254902,0.1254902,128139000,393586000,521625000,265447000,521625000,128039000,0.1254902,0.1254902,128039000,393554000,489211000,265515000,489211000,95657000,0.1254902,0.14901961,95657000,562294000,690845000,466637000,690845000,128551000,0.14901961,0.13333334
USER2,7,96230999,330376999,426139999,234146000,426139999,95763000,0.11764707,0.14117648,95763000,562451000,658138000,466688000,658138000,95687000,0.14117648,0.1254902,95687000,329954000,474973000,234267000,474973000,145019000,0.1254902,0.121568635,145019000,596079000,708011000,451060000,708011000,111932000,0.121568635,0.1254902,111932000,377365000,522251000,265433000,522251000,144886000,0.1254902,0.121568635,144886000,595977000,708038000,451091000,708038000,112061000,0.121568635,0.12941177,112061000,315442000,460270000,203381000,460270000,144828000,0.12941177,0.121568635,144828000,611329000,755933000,466501000,755933000,144604000,0.121568635,0.15294118,144604000,456495000,552264000,311891000,552264000,95769000,0.15294118,0.10588236,95769000,407247001,552001001,311478001,552001001,144754000,0.10588236,0.13725491,144754000,410382000,538566999,265628000,538566999,128184999,0.13725491,0.12941177,128184999,393599999,506024999,265415000,506024999,112425000,0.12941177,0.13725491,112425000,346610000,458675000,234185000,458675000,112065000,0.13725491,0.1254902,112065000,377524000,472854000,265459000,472854000,95330000,0.1254902,0.1254902,95330000,360759000,456356000,265429000,456356000,95597000,0.1254902,0.14117648,95597000,546523000,626516000,450926000,626516000,79993000,0.14117648,0.10588236
USER2,8,76527002,326252001,438127001,249724999,438127001,111875000,0.13333334,0.13333334,111875000,674634000,767333000,562759000,767333000,92699000,0.13333334,0.13333334,92699000,326836000,471427000,234137000,471427000,144591000,0.13333334,0.1254902,144591000,564791001,676840001,420200001,676840001,112049000,0.1254902,0.13333334,112049000,377490000,522064000,265441000,522064000,144574000,0.13333334,0.12941177,144574000,549170000,677910999,404596000,677910999,128740999,0.12941177,0.1254902,128740999,332038000,493221999,203297001,493221999,161183999,0.1254902,0.12941177,161183999,695464999,833933999,534281000,833933999,138469000,0.12941177,0.13333334,138469000,450549001,578592000,312080001,578592000,128042999,0.13333334,0.121568635,128042999,610243999,738688999,482201000,738688999,128445000,0.121568635,0.121568635,128445000,440277000,568454000,311832000,568454000,128177000,0.121568635,0.1137255,128177000,502057001,614377001,373880001,614377001,112320000,0.1137255,0.14509805,112320000,439263999,551403999,326943999,551403999,112140000,0.14509805,0.121568635,112140000,393094000,537663000,280954000,537663000,144569000,0.121568635,0.121568635,144569000,378923000,474617000,234354000,474617000,95694000,0.121568635,0.14117648,95694000,840481002,953264002,744787002,953264002,112783000,0.14117648,0.1254902
USER2,9,109360999,374723999,470252999,265363000,470252999,95529000,0.12941177,0.14117648,95529000,609015000,688069000,513486000,688069000,79054000,0.14117648,0.10980393,79054000,328835000,457248000,249781000,457248000,128413000,0.10980393,0.13333334,128413000,718767000,831200000,590354000,831200000,112433000,0.13333334,0.121568635,112433000,346826000,475167000,234393000,475167000,128341000,0.121568635,0.121568635,128341000,579461000,675087000,451120000,675087000,95626000,0.121568635,0.13725491,95626000,314671000,459490000,219045000,459490000,144819000,0.13725491,0.13725491,144819000,800519000,925219000,655700000,925219000,124700000,0.13725491,0.14901961,124700000,436431000,532430000,311731000,532430000,95999000,0.14901961,0.1137255,95999000,407427000,519369000,311428000,519369000,111942000,0.1137255,0.12941177,111942000,439598000,534910000,327656000,534910000,95312000,0.12941177,0.1254902,95312000,393171000,520556000,297859000,520556000,127385000,0.1254902,0.1254902,127385000,407676000,519714000,280291000,519714000,112038000,0.1254902,0.121568635,112038000,392825000,537365000,280787000,537365000,144540000,0.121568635,0.11764707,144540000,410149000,505777000,265609000,505777000,95628000,0.11764707,0.14509805,95628000,690100000,798108000,594472000,798108000,108008000,0.14509805,0.12941177
USER2,10,108994999,328149999,440163999,219155000,440163999,112014000,0.12941177,0.13333334,112014000,594214000,673673000,482200000,673673000,79459000,0.13333334,0.10980393,79459000,375815001,488045000,296356001,488045000,112229999,0.10980393,0.1137255,112229999,609754999,721960999,497525000,721960999,112206000,0.1137255,0.13333334,112206000,315450000,460482000,203244000,460482000,145032000,0.13333334,0.12941177,145032000,565129000,676914000,420097000,676914000,111785000,0.12941177,0.121568635,111785000,315509001,460531000,203724001,460531000,145021999,0.121568635,0.11764707,145021999,693230999,801024999,548209000,801024999,107794000,0.11764707,0.13725491,107794000,388826000,484454000,281032000,484454000,95628000,0.13725491,0.13333334,95628000,376926000,488249000,281298000,488249000,111323000,0.13333334,0.14509805,111323000,453849000,582300000,342526000,582300000,128451000,0.14509805,0.10588236,128451000,533065000,661589000,404614000,661589000,128524000,0.10588236,0.12941177,128524000,424752000,553021000,296228000,553021000,128269000,0.12941177,0.121568635,128269000,393821000,521846001,265552000,521846001,128025001,0.121568635,0.121568635,128025001,393421001,472772001,265396000,472772001,79351000,0.121568635,0.13725491,79351000,576909999,688946999,497558999,688946999,112037000,0.13725491,0.121568635
