subject,holdtime1,downdown1,updown1,pressure1,fingerarea1,holdtime2,downdown2,updown2,pressure2,fingerarea2,holdtime3,downdown3,updown3,pressure3,fingerarea3,holdtime4,downdown4,updown4,pressure4,fingerarea4,holdtime5,downdown5,updown5,pressure5,fingerarea5,holdtime6,downdown6,updown6,pressure6,fingerarea6,holdtime7,downdown7,updown7,pressure7,fingerarea7,holdtime8,downdown8,updown8,pressure8,fingerarea8,holdtime9,downdown9,updown9,pressure9,fingerarea9,holdtime10,downdown10,updown10,pressure10,fingerarea10,holdtime11,downdown11,updown11,pressure11,fingerarea11,holdtime12,downdown12,updown12,pressure12,fingerarea12,holdtime13,pressure13,fingerarea13,meanholdtime,meanpressure,meanfingerarea,meanxaccelaration,meanyaccelaration,meanzaccelaration,velocity,totaltime,totaldistance
600,126,376,250,0.12,0.225806,125,213,88,0.12,0.290323,100,393,293,0.168,0.354839,110,288,178,0.1296,0.290323,127,1415,1288,0.1344,0.258065,121,406,285,0.1584,0.290323,97,567,470,0.1248,0.225806,97,437,340,0.1296,0.258065,91,352,261,0.1536,0.322581,109,601,492,0.1152,0.258065,100,134,34,0.0528,0.193548,116,361,245,0.1248,0.225806,97,0.168,0.354839,108.923077,0.130708,0.272953,0.560013,4.985119,8.380466,1.079226,5640,325.169327
600,125,498,373,0.1344,0.225806,80,207,127,0.1344,0.354839,114,427,313,0.12,0.322581,99,231,132,0.1296,0.354839,122,240,118,0.1344,0.258065,130,336,206,0.2064,0.387097,137,625,488,0.1536,0.290323,109,475,366,0.1296,0.258065,99,364,265,0.1536,0.322581,122,253,131,0.1344,0.290323,105,116,11,0.0912,0.225806,133,328,195,0.264,0.225806,118,0.168,0.419355,114.846154,0.150277,0.30273,0.573906,5.089797,8.335482,1.304008,4218,344.972009
600,112,396,284,0.12,0.290323,118,669,551,0.1152,0.290323,99,519,420,0.1152,0.322581,99,274,175,0.168,0.354839,161,271,110,0.1104,0.354839,143,352,209,0.1632,0.322581,124,585,461,0.1104,0.258065,92,578,486,0.1344,0.290323,91,375,284,0.1392,0.322581,107,825,718,0.1392,0.258065,81,93,12,0.096,0.225806,142,395,253,0.24,0.258065,125,0.168,0.354839,114.923077,0.139938,0.300248,0.964403,5.469427,8.021554,1.269952,5457,337.524339
600,115,464,349,0.1296,0.322581,110,601,491,0.1344,0.258065,118,492,374,0.1008,0.290323,112,249,137,0.1392,0.354839,135,239,104,0.1344,0.290323,141,373,232,0.192,0.354839,131,567,436,0.1296,0.258065,94,398,304,0.1392,0.258065,85,274,189,0.1584,0.322581,135,227,92,0.1296,0.258065,112,123,11,0.12,0.193548,155,317,162,0.2064,0.258065,130,0.1824,0.290323,121,0.145846,0.28536,0.598205,5.481087,8.06336,1.342287,4454,334.072161
600,137,365,228,0.12,0.258065,109,536,427,0.1392,0.290323,120,547,427,0.1584,0.322581,84,204,120,0.1584,0.387097,148,261,113,0.1248,0.290323,134,328,194,0.1824,0.322581,153,607,454,0.1296,0.129032,118,466,348,0.1584,0.387097,114,252,138,0.1776,0.354839,126,179,53,0.1392,0.258065,93,152,59,0.1584,0.387097,129,281,152,0.1632,0.225806,124,0.192,0.387097,122.230769,0.153969,0.307692,0.612662,5.44537,8.076747,1.320926,4302,318.467855
600,129,442,313,0.1248,0.258065,99,501,402,0.1104,0.290323,125,408,283,0.12,0.258065,119,236,117,0.144,0.322581,153,277,124,0.312,0.774194,146,329,183,0.192,0.387097,133,560,427,0.1344,0.225806,138,659,521,0.1488,0.290323,121,563,442,0.1632,0.322581,118,229,111,0.12,0.258065,92,104,12,0.0768,0.225806,119,300,181,0.24,0.225806,129,0.168,0.322581,124.692308,0.158031,0.320099,0.265515,5.684215,7.950453,1.366854,4737,339.39776
600,123,400,277,0.1248,0.225806,107,412,305,0.096,0.258065,99,994,895,0.1248,0.258065,91,298,207,0.1536,0.322581,136,288,152,0.1104,0.258065,155,1798,1643,0.1584,0.354839,103,519,416,0.0912,0.193548,110,361,251,0.12,0.258065,121,251,130,0.1488,0.322581,150,186,36,0.1296,0.258065,94,106,12,0.192,0.322581,147,351,204,0.336,0.225806,128,0.1632,0.354839,120.307692,0.149908,0.277916,0.619108,5.516103,8.04522,1.357723,6092,334.486745
600,124,279,155,0.1008,0.290323,130,547,417,0.1152,0.354839,117,367,250,0.1248,0.258065,112,230,118,0.1392,0.258065,143,252,109,0.12,0.258065,134,393,259,0.2256,0.354839,99,553,454,0.1248,0.258065,118,438,320,0.1296,0.258065,91,237,146,0.144,0.290323,118,164,46,0.1296,0.258065,105,117,12,0.1536,0.290323,148,329,181,0.2976,0.258065,146,0.2064,0.387097,121.923077,0.154708,0.290323,0.596225,5.627042,7.982637,1.514663,4052,339.58813
600,144,406,262,0.1392,0.322581,101,517,416,0.1056,0.290323,109,386,277,0.1152,0.258065,104,137,33,0.2208,0.419355,165,361,196,0.1776,0.225806,131,341,210,0.1776,0.387097,150,631,481,0.1248,0.258065,103,383,280,0.1344,0.258065,124,234,110,0.168,0.387097,149,161,12,0.144,0.258065,112,123,11,0.2352,0.258065,130,287,157,0.264,0.225806,120,0.1968,0.322581,126.307692,0.169477,0.297767,0.599045,5.744358,7.896572,1.533262,4087,335.031015
600,139,207,68,0.12,0.193548,106,379,273,0.1392,0.290323,119,639,520,0.1296,0.290323,114,320,206,0.144,0.322581,141,509,368,0.1248,0.258065,133,914,781,0.1824,0.387097,101,567,466,0.1104,0.258065,98,956,858,0.1392,0.290323,99,293,194,0.1776,0.322581,134,170,36,0.1632,0.322581,74,86,12,0.2064,0.225806,135,297,162,0.2784,0.193548,130,0.1968,0.419355,117.153846,0.162462,0.290323,0.607517,5.617154,7.990142,1.600316,5467,334.67917
600,96,265,169,0.1008,0.225806,97,308,211,0.072,0.258065,123,440,317,0.1104,0.225806,66,256,190,0.3024,0.903226,118,334,216,0.1152,0.193548,104,324,220,0.1632,0.290323,102,678,576,0.1104,0.129032,94,522,428,0.1152,0.193548,92,442,350,0.1296,0.258065,118,267,149,0.12,0.193548,53,103,50,0.0528,0.16129,116,320,204,0.2256,0.548387,96,0.1776,0.322581,98.076923,0.138092,0.300248,0.679044,6.267122,7.467078,1.368322,4355,334.308286
600,115,556,441,0.1008,0.193548,93,496,403,0.12,0.258065,90,338,248,0.1152,0.290323,111,201,90,0.1632,0.290323,128,240,112,0.1584,0.290323,117,296,179,0.1824,0.322581,119,589,470,0.1344,0.225806,107,494,387,0.1104,0.193548,83,654,571,0.12,0.225806,136,326,190,0.1008,0.193548,110,419,309,0.0864,0.16129,124,293,169,0.1344,0.225806,105,0.1776,0.290323,110.615385,0.131077,0.243176,0.814466,6.078164,7.612077,0.884589,5007,339.22843
600,100,466,366,0.1344,0.322581,134,340,206,0.1152,0.193548,91,398,307,0.1152,0.258065,118,205,87,0.1584,0.290323,141,265,124,0.1392,0.225806,127,316,189,0.1728,0.258065,116,638,522,0.1344,0.258065,100,403,303,0.1296,0.225806,96,405,309,0.1152,0.225806,115,300,185,0.1104,0.129032,115,190,75,0.0816,0.193548,93,380,287,0.1392,0.193548,73,0.168,0.290323,109.153846,0.131815,0.235732,0.324414,6.234248,7.537361,1.064363,4379,327.676486
600,101,455,354,0.12,0.225806,96,488,392,0.1056,0.258065,104,361,257,0.1152,0.258065,125,205,80,0.1584,0.258065,112,246,134,0.168,0.290323,126,297,171,0.1872,0.322581,133,606,473,0.1488,0.258065,109,403,294,0.12,0.290323,84,554,470,0.144,0.258065,105,276,171,0.0912,0.129032,82,109,27,0.0672,0.193548,119,336,217,0.12,0.193548,112,0.1536,0.258065,108.307692,0.130708,0.245658,0.225723,5.985711,7.732155,1.344202,4448,339.846712
600,136,267,131,0.1296,0.193548,83,298,215,0.072,0.193548,88,346,258,0.0816,0.225806,98,143,45,0.1488,0.290323,125,236,111,0.168,0.193548,124,400,276,0.168,0.354839,121,605,484,0.1152,0.193548,111,382,271,0.1296,0.225806,90,392,302,0.144,0.290323,104,225,121,0.1152,0.225806,112,157,45,0.1056,0.225806,137,325,188,0.1536,0.193548,115,0.192,0.354839,111.076923,0.132554,0.243176,0.179565,6.05512,7.678366,1.360195,3891,342.490986
600,145,357,212,0.1344,0.225806,117,259,142,0.1008,0.225806,89,368,279,0.1296,0.193548,107,152,45,0.1536,0.290323,129,236,107,0.1728,0.225806,122,311,189,0.192,0.290323,96,625,529,0.1296,0.225806,119,488,369,0.1248,0.258065,91,291,200,0.168,0.322581,126,187,61,0.1344,0.225806,84,95,11,0.1296,0.225806,133,316,183,0.216,0.129032,140,0.1632,0.322581,115.230769,0.149908,0.243176,0.281952,6.056456,7.674717,1.582578,3825,332.454191
600,150,367,217,0.1536,0.225806,94,213,119,0.0864,0.225806,99,364,265,0.1152,0.225806,91,147,56,0.1728,0.354839,114,235,121,0.1488,0.258065,131,1820,1689,0.1632,0.322581,119,520,401,0.1296,0.258065,113,374,261,0.1536,0.258065,106,240,134,0.1392,0.258065,145,201,56,0.1248,0.193548,88,100,12,0.1296,0.290323,108,284,176,0.2208,0.225806,100,0.1824,0.354839,112.153846,0.147692,0.265509,0.257607,6.089053,7.64959,1.531254,4965,337.839048
600,137,343,206,0.12,0.225806,93,466,373,0.1056,0.225806,104,338,234,0.12,0.193548,85,97,12,0.1776,0.322581,121,257,136,0.312,0.225806,115,273,158,0.1968,0.354839,136,499,363,0.144,0.258065,127,398,271,0.1296,0.258065,91,528,437,0.144,0.225806,138,205,67,0.1296,0.225806,95,106,11,0.1344,0.193548,135,316,181,0.2016,0.225806,108,0.1872,0.322581,114.230769,0.161723,0.25062,0.371849,6.326298,7.457271,1.551101,3934,340.465402
600,130,437,307,0.1488,0.225806,104,329,225,0.1248,0.258065,107,361,254,0.1152,0.225806,100,188,88,0.144,0.258065,139,250,111,0.1248,0.225806,120,297,177,0.1776,0.290323,124,605,481,0.12,0.193548,93,759,666,0.1056,0.193548,96,385,289,0.1632,0.322581,112,193,81,0.1152,0.193548,78,90,12,0.0864,0.16129,132,330,198,0.2256,0.225806,94,0.1776,0.290323,109.923077,0.140677,0.235732,0.308921,6.029878,7.685779,1.531176,4318,337.833642
600,130,332,202,0.1056,0.225806,110,247,137,0.12,0.258065,140,365,225,0.1248,0.225806,73,110,37,0.144,0.258065,128,229,101,0.1632,0.225806,126,291,165,0.1776,0.290323,151,617,466,0.1296,0.225806,95,379,284,0.1488,0.225806,109,885,776,0.1296,0.290323,118,221,103,0.1296,0.193548,72,134,62,0.1248,0.258065,112,383,271,0.144,0.193548,98,0.1488,0.225806,112.461538,0.137723,0.238213,0.21732,6.118578,7.618684,1.389303,4291,315.454536
600,145,366,221,0.1296,0.193548,129,240,111,0.1056,0.225806,81,328,247,0.1248,0.258065,93,152,59,0.144,0.258065,116,216,100,0.168,0.225806,123,301,178,0.192,0.354839,97,497,400,0.144,0.258065,100,367,267,0.1248,0.258065,113,358,245,0.1248,0.258065,102,137,35,0.12,0.290323,133,145,12,0.1728,0.193548,98,256,158,0.2592,0.129032,115,0.1776,0.290323,111.153846,0.152862,0.245658,0.268254,6.125657,7.628468,1.499593,3478,330.76045
600,74,322,248,0.1248,0.16129,93,184,91,0.1248,0.290323,93,363,270,0.168,0.225806,110,125,15,0.1632,0.290323,100,242,142,0.2016,0.193548,134,277,143,0.1632,0.322581,139,483,344,0.1392,0.225806,112,402,290,0.1488,0.290323,85,241,156,0.1344,0.225806,125,182,57,0.1488,0.225806,88,100,12,0.1536,0.258065,115,260,145,0.3552,0.193548,107,0.2016,0.387097,105.769231,0.171323,0.253102,0.229199,6.582535,7.229027,1.68944,3288,331.21969
600,116,888,772,0.12,0.16129,100,291,191,0.1104,0.225806,104,337,233,0.1152,0.225806,84,129,45,0.1392,0.290323,133,243,110,0.168,0.193548,128,263,135,0.2016,0.387097,137,503,366,0.1536,0.290323,125,331,206,0.1344,0.225806,77,195,118,0.1296,0.258065,134,157,23,0.1248,0.225806,83,95,12,0.1824,0.258065,119,306,187,0.3552,0.193548,88,0.1584,0.258065,109.846154,0.160985,0.245658,0.33848,6.217857,7.541125,1.71318,3826,336.455935
600,130,561,431,0.144,0.225806,109,196,87,0.1296,0.225806,114,340,226,0.144,0.225806,73,118,45,0.1392,0.258065,134,253,119,0.168,0.258065,121,292,171,0.1872,0.258065,108,447,339,0.12,0.225806,118,415,297,0.1248,0.258065,92,244,152,0.1248,0.322581,141,175,34,0.1296,0.258065,93,105,12,0.216,0.225806,142,316,174,0.3072,0.193548,96,0.1872,0.290323,113.153846,0.1632,0.248139,0.296133,6.427522,7.363529,1.602502,3558,314.086327
600,108,528,420,0.1248,0.354839,93,206,113,0.1008,0.193548,95,347,252,0.1104,0.225806,80,125,45,0.1488,0.290323,137,231,94,0.1536,0.129032,117,268,151,0.1824,0.258065,145,490,345,0.1392,0.193548,133,349,216,0.1248,0.225806,88,233,145,0.1536,0.290323,118,164,46,0.12,0.225806,87,99,12,0.168,0.258065,122,294,172,0.264,0.225806,112,0.2064,0.290323,110.384615,0.1536,0.243176,0.513027,6.326943,7.439049,1.674289,3446,322.173964
600,100,410,310,0.1056,0.225806,101,273,172,0.0912,0.258065,72,314,242,0.12,0.225806,80,144,64,0.1488,0.258065,119,239,120,0.1632,0.387097,129,1123,994,0.1728,0.290323,118,607,489,0.1104,0.193548,107,461,354,0.1488,0.225806,122,376,254,0.1392,0.258065,138,150,12,0.1392,0.258065,113,125,12,0.2208,0.258065,90,238,148,0.3696,0.258065,115,0.1776,0.354839,108,0.162092,0.265509,0.483893,6.53365,7.272008,1.454984,4575,335.638041
600,135,391,256,0.12,0.258065,97,193,96,0.096,0.225806,90,365,275,0.0912,0.258065,82,139,57,0.144,0.258065,99,222,123,0.1632,0.193548,116,269,153,0.192,0.354839,108,516,408,0.1488,0.225806,97,378,281,0.1344,0.258065,108,343,235,0.1632,0.290323,83,95,12,0.1488,0.193548,131,142,11,0.2736,0.193548,119,276,157,0.1968,0.193548,97,0.192,0.354839,104.769231,0.158769,0.25062,0.281365,6.303001,7.460286,1.695847,3426,331.614298
600,110,747,637,0.1344,0.193548,83,150,67,0.1104,0.290323,100,341,241,0.12,0.258065,92,164,72,0.1488,0.258065,115,215,100,0.1632,0.258065,110,272,162,0.2016,0.258065,102,492,390,0.1248,0.193548,97,311,214,0.12,0.193548,92,179,87,0.1392,0.290323,125,192,67,0.1536,0.225806,65,77,12,0.1152,0.193548,101,310,209,0.2016,0.225806,95,0.1632,0.290323,99,0.145846,0.240695,0.075498,6.642655,7.171543,1.819883,3545,329.071423
600,87,412,325,0.1296,0.258065,80,163,83,0.0912,0.290323,103,393,290,0.1296,0.258065,91,183,92,0.1344,0.290323,93,203,110,0.1248,0.225806,104,287,183,0.1776,0.354839,99,472,373,0.1152,0.225806,85,457,372,0.1296,0.225806,92,312,220,0.1728,0.322581,126,138,12,0.1392,0.290323,83,94,11,0.264,0.193548,111,292,181,0.24,0.225806,118,0.1872,0.322581,97.846154,0.156554,0.26799,0.062134,6.931099,6.882547,1.637612,3524,324.848
600,88,276,188,0.1104,0.129032,99,185,86,0.1008,0.225806,101,292,191,0.1344,0.225806,96,120,24,0.1632,0.290323,112,223,111,0.2112,0.258065,113,261,148,0.1824,0.290323,128,543,415,0.1536,0.225806,108,280,172,0.1344,0.225806,120,177,57,0.1584,0.354839,114,192,78,0.1824,0.193548,61,73,12,0.1296,0.258065,92,215,123,0.3552,0.290323,119,0.1824,0.322581,103.923077,0.169108,0.253102,-0.181741,6.908101,6.92303,2.013351,2956,340.482647
600,82,263,181,0.096,0.193548,72,672,600,0.0816,0.290323,90,323,233,0.0864,0.225806,66,248,182,0.1008,0.322581,88,421,333,0.0816,0.193548,70,202,132,0.1104,0.258065,90,1012,922,0.0768,0.193548,87,420,333,0.0864,0.193548,76,304,228,0.096,0.225806,91,269,178,0.0912,0.225806,74,86,12,0.0816,0.225806,115,356,241,0.1968,0.225806,64,0.1056,0.290323,81.923077,0.099323,0.235732,-0.088931,1.477694,9.694192,1.574729,4640,334.20334
600,86,247,161,0.0768,0.225806,86,607,521,0.2304,0.709677,90,317,227,0.0864,0.258065,73,180,107,0.1104,0.225806,94,218,124,0.0864,0.16129,71,144,73,0.12,0.290323,104,576,472,0.096,0.258065,83,568,485,0.1056,0.258065,88,319,231,0.0864,0.193548,103,254,151,0.0864,0.258065,61,98,37,0.0912,0.193548,97,382,285,0.1056,0.16129,79,0.1008,0.258065,85.769231,0.106338,0.265509,-0.08862,1.479835,9.693846,1.586451,3989,344.132668
600,63,303,240,0.0768,0.258065,69,598,529,0.072,0.258065,93,305,212,0.0768,0.258065,90,135,45,0.1104,0.290323,79,220,141,0.1056,0.16129,77,405,328,0.1056,0.322581,104,782,678,0.0816,0.290323,73,358,285,0.0912,0.290323,71,259,188,0.0912,0.290323,82,259,177,0.0912,0.225806,77,144,67,0.0864,0.258065,89,326,237,0.0864,0.225806,60,0.1056,0.225806,79,0.090831,0.258065,-0.088447,1.480641,9.693743,1.374742,4154,339.908132
600,75,309,234,0.0816,0.225806,54,564,510,0.0912,0.225806,91,319,228,0.0816,0.193548,100,166,66,0.1008,0.322581,80,137,57,0.1152,0.258065,72,153,81,0.1152,0.258065,124,775,651,0.0864,0.225806,72,595,523,0.1104,0.225806,79,301,222,0.0912,0.193548,89,185,96,0.0816,0.193548,90,126,36,0.0768,0.258065,78,293,215,0.1104,0.193548,72,0.0864,0.258065,82.769231,0.094523,0.233251,-0.086468,1.482529,9.693467,1.585897,3995,349.133158
600,71,218,147,0.0864,0.225806,74,423,349,0.0864,0.225806,99,410,311,0.072,0.225806,73,124,51,0.096,0.225806,87,132,45,0.1056,0.193548,76,244,168,0.24,0.709677,116,624,508,0.0864,0.225806,90,615,525,0.0768,0.193548,79,277,198,0.096,0.290323,99,175,76,0.0864,0.16129,100,112,12,0.0912,0.16129,88,303,215,0.1536,0.225806,71,0.1008,0.290323,86.384615,0.105969,0.258065,-0.093892,1.481953,9.693478,1.71205,3728,354.223027
600,67,330,263,0.0864,0.258065,51,638,587,0.0816,0.193548,85,359,274,0.096,0.290323,74,212,138,0.1008,0.225806,103,158,55,0.1056,0.290323,85,149,64,0.12,0.290323,108,708,600,0.096,0.225806,79,587,508,0.096,0.258065,87,281,194,0.0864,0.290323,122,237,115,0.0912,0.290323,75,86,11,0.0864,0.193548,128,444,316,0.1344,0.193548,74,0.096,0.225806,87.538462,0.098215,0.248139,-0.08603,1.476486,9.694387,1.698593,4263,331.354874
600,93,438,345,0.0768,0.225806,62,521,459,0.096,0.258065,81,356,275,0.0912,0.258065,81,266,185,0.1104,0.258065,98,158,60,0.096,0.290323,79,244,165,0.1296,0.290323,72,642,570,0.0816,0.193548,106,332,226,0.0816,0.193548,74,304,230,0.096,0.354839,112,146,34,0.096,0.258065,74,85,11,0.1248,0.258065,119,435,316,0.1872,0.193548,106,0.1008,0.225806,89,0.105231,0.25062,-0.074393,1.476543,9.694491,1.767122,4033,353.508353
600,90,316,226,0.0864,0.225806,70,571,501,0.0864,0.258065,61,281,220,0.096,0.290323,93,139,46,0.1056,0.258065,84,138,54,0.1152,0.193548,72,347,275,0.12,0.290323,81,647,566,0.0816,0.290323,119,335,216,0.0864,0.258065,105,234,129,0.1056,0.258065,126,192,66,0.0816,0.258065,87,132,45,0.2064,0.516129,72,377,305,0.1056,0.290323,73,0.1056,0.290323,87.153846,0.106338,0.282878,-0.081794,1.473919,9.694813,1.49655,3782,368.894742
600,88,379,291,0.0864,0.225806,77,594,517,0.0912,0.258065,64,272,208,0.2352,0.677419,91,129,38,0.1104,0.290323,94,129,35,0.144,0.258065,61,167,106,0.144,0.322581,122,624,502,0.0816,0.193548,114,293,179,0.0864,0.258065,88,161,73,0.1008,0.258065,111,191,80,0.096,0.258065,85,96,11,0.1056,0.258065,98,328,230,0.1536,0.225806,59,0.1008,0.225806,88.615385,0.118154,0.28536,-0.067107,1.480296,9.693962,1.843239,3422,322.608269
600,71,336,265,0.0864,0.193548,61,593,532,0.0912,0.258065,70,276,206,0.0912,0.258065,99,143,44,0.1056,0.354839,88,112,24,0.12,0.290323,98,158,60,0.3072,0.709677,100,627,527,0.1104,0.225806,100,228,128,0.0912,0.258065,104,162,58,0.096,0.225806,90,215,125,0.1056,0.225806,82,105,23,0.0912,0.225806,94,309,215,0.12,0.225806,99,0.2352,0.677419,88.923077,0.127015,0.317618,-0.062583,1.486396,9.693052,1.720746,3363,326.248811
600,52,215,163,0.0768,0.193548,78,536,458,0.096,0.225806,68,286,218,0.0912,0.258065,104,115,11,0.1392,0.354839,98,110,12,0.1968,0.258065,75,148,73,0.2688,0.258065,108,586,478,0.1008,0.193548,98,309,211,0.0864,0.258065,71,157,86,0.1008,0.258065,124,232,108,0.1008,0.258065,68,102,34,0.0912,0.225806,107,317,210,0.1152,0.193548,92,0.1008,0.290323,87.923077,0.120369,0.248139,-0.093086,1.478235,9.694054,1.849302,3205,326.048424
600,68,326,258,0.0816,0.16129,72,337,265,0.0864,0.225806,55,374,319,0.24,0.741935,81,161,80,0.1056,0.258065,70,148,78,0.096,0.225806,73,161,88,0.1008,0.290323,78,538,460,0.0912,0.225806,85,320,235,0.0864,0.193548,104,173,69,0.0912,0.322581,110,179,69,0.096,0.225806,71,94,23,0.1104,0.290323,94,292,198,0.1248,0.225806,99,0.0912,0.225806,81.538462,0.107815,0.277916,-0.090865,1.481251,9.693616,1.822088,3202,337.025441
600,108,321,213,0.0768,0.16129,63,357,294,0.096,0.258065,69,406,337,0.0912,0.258065,69,124,55,0.1104,0.258065,119,185,66,0.1056,0.258065,94,148,54,0.1248,0.290323,105,570,465,0.1152,0.225806,99,317,218,0.0912,0.225806,81,137,56,0.1056,0.387097,100,208,108,0.2256,0.709677,63,75,12,0.0912,0.258065,106,361,255,0.2256,0.225806,85,0.1056,0.258065,89.307692,0.120369,0.290323,-0.085857,1.478638,9.694088,2.028558,3294,338.945709
